Competência,País,UF,Município,Categoria,Sexo,Nível de Instrução,Salário,Faixa Etária,Carga Horária do Contrato,Status Migratório
202206,VENEZUELA,42,999999,101,3,6,"1322,72",5,6,Sem Informação
202206,PARAGUAI,41,999999,101,3,6,"1205,05",2,4,Sem Informação
202206,VENEZUELA,13,999999,101,1,4,"1255,00",3,6,Sem Informação
202207,CUBA,17,171820,101,1,4,"1527,77",6,6,Sem Informação
202207,ARGENTINA,24,999999,101,3,4,"1212,00",3,6,Sem Informação
202207,ARGENTINA,24,999999,101,1,4,"1212,00",4,6,Sem Informação
202207,BOLÍVIA,35,999999,101,3,4,"1666,31",3,6,Sem Informação
202207,ITÁLIA,31,999999,101,1,4,"9774,60",5,6,Sem Informação
202207,HAITI,33,999999,106,1,2,"2232,80",4,7,Permanente
202207,HAITI,33,999999,106,1,4,"1835,45",6,7,Temporário
202207,HAITI,33,999999,106,1,4,"1835,45",6,7,Sem Informação
202207,HAITI,41,999999,101,1,6,"1825,00",6,6,Sem Informação
202207,HAITI,50,999999,101,1,4,"1602,93",4,6,Permanente
202207,VENEZUELA,13,999999,101,1,1,"1329,60",5,6,Temporário
